City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,geraldton,-28.7667,114.6,32.23,33,0,7.72,AU,1678861896
321,bargi,22.9833,79.8667,33.72,17,100,2.4,IN,1678862380
322,china,25.7,-99.2333,17.74,93,100,3.52,MX,1678862381
323,kavaratti,10.5669,72.642,27.79,69,3,1.01,IN,1678862382
324,paulista,-7.9408,-34.8731,25.92,83,100,1.97,BR,1678862383
325,suksun,57.1431,57.3949,-0.29,96,100,7.41,RU,1678862383
326,kushmurun,52.4503,64.6311,-4.88,83,19,4.44,KZ,1678862384
327,meppen,52.6906,7.291,0.7,93,40,2.06,DE,1678862385
328,kazan,55.7887,49.1221,2.34,78,100,6.68,RU,1678862385
329,bereda,43.2686,-7.5406,7.3,100,97,0.92,ES,1678862386
330,songkhla,6.8333,100.6667,30.86,48,81,5.73,TH,1678862387
331,pacifica,37.6138,-122.4869,10.23,84,75,6.17,US,1678862220
332,manicore,-5.8092,-61.3003,21.68,99,100,0.88,BR,1678862388
333,prince rupert,54.3161,-130.3201,3.83,93,75,11.32,CA,1678862388
334,soyo,-6.1349,12.3689,27.44,77,81,3.89,AO,1678862389
335,byron bay,-28.65,153.6167,27.62,79,56,4.51,AU,1678862135
336,alpinopolis,-20.8636,-46.3881,17.63,97,100,1.52,BR,1678862390
337,muscat,23.6139,58.5922,27.01,50,5,3.45,OM,1678862368
338,lensk,60.7253,114.9278,-6.61,76,100,4.99,RU,1678862391
339,juxtlahuaca,17.4294,-99.1467,18.63,74,39,1.06,MX,1678862392
340,hofn,64.2539,-15.2082,-8.34,67,1,9.75,IS,1678862393
341,camocim,-2.9022,-40.8411,24.02,88,100,0.88,BR,1678862394
342,navahrudak,53.6,25.8333,4.2,94,100,5.71,BY,1678862394
343,thinadhoo,0.5333,72.9333,27.9,74,38,3.4,MV,1678862021
344,vaasa,63.096,21.6158,-5.95,94,20,3.58,FI,1678862395
345,baijiantan,45.6333,85.1833,10.52,51,6,1.97,CN,1678862396
346,sholokhove,47.6945,34.0312,5.97,72,97,5.43,UA,1678862397
347,zhicheng,30.2956,111.5047,22.91,20,0,7.41,CN,1678862397
348,porto santo,33.072,-16.3415,16.21,72,40,3.09,PT,1678862398
349,srednekolymsk,67.45,153.6833,-10.62,94,100,1.52,RU,1678862399
350,sur,22.5667,59.5289,29.21,42,11,3.67,OM,1678862399
351,puerto escondido,15.85,-97.0667,24.64,74,0,2.14,MX,1678862400
352,shiyan,32.6475,110.7781,18.6,16,99,8.39,CN,1678862401
353,potosi,-19.5836,-65.7531,6.68,83,33,0.76,BO,1678862124
354,darien,41.752,-87.974,-2.87,81,0,2.57,US,1678861930
355,chernyshevskiy,63.0128,112.4714,-10.45,87,50,5.35,RU,1678862403
356,balikpapan,-1.2675,116.8289,29.55,70,20,1.54,ID,1678862404
357,paamiut,61.994,-49.6678,-3.74,93,100,3.0,GL,1678862405
358,klaksvik,62.2266,-6.589,-0.49,60,100,8.34,FO,1678862406
359,barguzin,53.6167,109.6167,-7.15,68,87,2.0,RU,1678862407
360,naruto,34.1833,134.6167,18.99,72,20,9.77,JP,1678862408
